"2023-04-03T10:35:12.037Z","EVSE","DC power supply set: 478.6000061035156V/11.399999618530273A, requested was 478.6000061035156V/11.399999618530273A.",""
"2023-04-03T10:35:12.132Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:12.140Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:12.512Z","EVSE","DC power supply set: 478.6000061035156V/20A, requested was 478.6000061035156V/20A.",""
"2023-04-03T10:35:12.565Z","EVSE","Change HLC Limits: 10000W/20.894274A, target_voltage 478.6, hack_bpt false",""
"2023-04-03T10:35:12.601Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:12.616Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:12.969Z","EVSE","DC power supply set: 478.6000061035156V/20.894274702196967A, requested was 478.6000061035156V/24.5A.",""
"2023-04-03T10:35:13.056Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:13.063Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:13.423Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:13.508Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:13.527Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:13.887Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:14.010Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:14.352Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:14.434Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:14.823Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:14.906Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:15.265Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:15.389Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:15.762Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:15.844Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:16.183Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:16.275Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:16.656Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:16.761Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:17.142Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:17.204Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:17.584Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:17.667Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:18.059Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:18.184Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:18.482Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:18.580Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:18.588Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:18.939Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:19.047Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:19.049Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:19.439Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:19.440Z","EVSE","Change HLC Limits: 10000W/20.881186A, target_voltage 478.9, hack_bpt false",""
"2023-04-03T10:35:19.539Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:19.542Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:19.866Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:19.991Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:20.322Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:20.430Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:20.432Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:20.777Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:20.892Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:21.017Z","EVSE","Change HLC Limits: 10000W/20.894274A, target_voltage 478.6, hack_bpt false",""
"2023-04-03T10:35:21.277Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:21.416Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:21.418Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:21.702Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:21.801Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:21.810Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:22.161Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:22.264Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:22.652Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:22.800Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:22.803Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:23.132Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:23.239Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:23.241Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:23.535Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:23.641Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:24.023Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:24.106Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:24.459Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:24.608Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:24.918Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:25.021Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:25.416Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:25.488Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:25.840Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:25.965Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:26.295Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:26.398Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:26.795Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:26.857Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:27.217Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:27.320Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:27.673Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:27.791Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:28.164Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:28.293Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:28.296Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:28.599Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:28.696Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:28.715Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:29.113Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:29.154Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:29.539Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:29.622Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:29.982Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:30.075Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:30.457Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:30.540Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:30.944Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:31.018Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:31.367Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:31.460Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:31.877Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:31.956Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:31.959Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:32.293Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:32.432Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:32.434Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:32.761Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:32.833Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:33.210Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:33.320Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:33.322Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:33.710Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:33.774Z","EVSE","Change HLC Limits: 10000W/20.881186A, target_voltage 478.9, hack_bpt false",""
"2023-04-03T10:35:33.804Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:34.117Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:34.205Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:34.225Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:34.585Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:34.720Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:35.044Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:35.142Z","CAR","V2G CurrentDemandReq",""
