"2023-04-07T11:32:41.716Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:41.819Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:41.900Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:41.992Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:42.073Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:42.186Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:42.309Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:42.370Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:42.390Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:42.442Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:42.533Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:42.614Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:42.727Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:42.808Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:42.910Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:43.002Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:43.114Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:43.165Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:43.267Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:43.349Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:43.389Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:43.451Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:43.564Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:43.656Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:43.707Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:43.841Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:43.892Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:43.985Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:44.067Z","CAR","V2G CurrentDemandReq",""
