"2023-04-04T10:05:23.985Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:24.087Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:24.108Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:24.201Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:24.324Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:24.427Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:24.550Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:24.642Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:24.786Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:24.889Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:25.023Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:25.086Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:25.096Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:25.209Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:25.312Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:25.435Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:25.528Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:25.651Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:25.754Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:25.867Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:25.959Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:26.082Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:26.093Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:26.219Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:26.356Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:26.439Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:26.531Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:26.624Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:26.747Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:26.849Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:26.972Z","CAR","V2G CurrentDemandReq",""
